postcode,easting,northing,soilType,elevation,localAuthority,riskLabel,medianPrice,historicallyFlooded,longitude,latitude
OL9 7NS,390978,403269,Unsurveyed/Urban,130,Oldham,1,119100,FALSE,-2.137561019,53.526005354064544
WV13 2LR,396607,298083,Unsurveyed/Urban,130,Walsall,1,84200,FALSE,-2.051505545,52.58054769879106
LS12 1LZ,427859,432937,Unsurveyed/Urban,60,Leeds,1,134900,FALSE,-1.578590842,53.792006167465814
SK15 1TS,395560,397900,Unsurveyed/Urban,120,Tameside,1,170200,FALSE,-2.068366609,53.47780634458462
TS17 9NN,445771,515362,Unsurveyed/Urban,20,Stockton-on-Tees,1,190600,FALSE,-1.294221699,54.53147511437072
LE6 5TE,434472,317426,Cambisols,140,North West Leicestershire,1,,FALSE,-1.490697032,52.75335406
DL7 7TB,436925,494915,Unsurveyed/Urban,40,Hambleton,1,,FALSE,-1.433449342,54.348447172509196
S63 8EP,444767,402434,Unsurveyed/Urban,30,Barnsley,1,49700,FALSE,-1.326332224,53.516683108565125
NE29 7EN,433353,568651,Unsurveyed/Urban,60,North Tyneside,1,103700,FALSE,-1.480002832,55.01130388420144
NE4 5BE,423708,564774,Unsurveyed/Urban,80,Newcastle upon Tyne,1,1533000,FALSE,-1.631133982,54.97701590911906
B16 6HG,404832,286162,Unsurveyed/Urban,160,Birmingham,1,,FALSE,-1.930292169,52.47337020235021
S31 8QF,447597,382987,Unsurveyed/Urban,110,Rotherham,1,,FALSE,-1.286587759,53.34164912074163
NR17 1YT,604576,295189,Luvisols,40,Breckland,1,344100,FALSE,1.0135997009585633,52.51617243303758
HX1 2XE,408741,424042,Unsurveyed/Urban,170,Calderdale,1,160000,FALSE,-1.869042171,53.71272589609185
DE23 6UE,434930,334819,Unsurveyed/Urban,60,Derby,1,65900,FALSE,-1.482056204,52.909671382802564
DN15 8TR,484590,411631,Cambisols,0,North Lincolnshire,8,180700,TRUE,-0.723395679,53.594438032672734
B16 9DW,404697,286451,Unsurveyed/Urban,160,Birmingham,1,267900,FALSE,-1.932275649,52.475969450592814
B42 1ND,405705,292933,Unsurveyed/Urban,130,Birmingham,1,199700,FALSE,-1.917326223,52.53423265542667
PE14 9PN,549808,294942,Gleysols,0,Fenland,1,290800,FALSE,0.2070904726106644,52.53174825507183
LN11 0JE,532609,388048,Unsurveyed/Urban,40,East Lindsey,1,245500,FALSE,-0.008219542,53.37265800442046
DL14 9TZ,419602,527202,Stagnosols,100,County Durham,1,142800,FALSE,-1.697810158,54.63955960575525
B11 1BB,408400,285700,Unsurveyed/Urban,120,Birmingham,1,225500,FALSE,-1.87777606,52.46917435225548
S18 5NX,434331,378559,Unsurveyed/Urban,170,North East Derbyshire,1,,FALSE,-1.486301588,53.30287317896843
DL1 9RG,429177,514182,Unsurveyed/Urban,40,Darlington,1,,FALSE,-1.550750774,54.52209470885735
DH2 2HD,427092,552190,Unsurveyed/Urban,50,County Durham,1,152300,FALSE,-1.579446327,54.86376400950979
BD1 1TN,416200,432900,Unsurveyed/Urban,100,Bradford,1,104700,FALSE,-1.755569991,53.79216452757276
YO19 6HT,460481,441720,Luvisols,20,Selby,1,873500,FALSE,-1.081726728,53.86817573957277
DL1 1TD,429356,514892,Unsurveyed/Urban,40,Darlington,8,164400,FALSE,-1.547915022,54.52846488560275
DH1 3QX,426528,541088,Stagnosols,90,County Durham,1,327700,FALSE,-1.589245684,54.76402930432265
BD9 5QD,414013,435227,Unsurveyed/Urban,200,Bradford,1,198600,FALSE,-1.788662689,53.813142335369896
S72 7EX,441337,409562,Unsurveyed/Urban,50,Barnsley,1,189800,FALSE,-1.377117446,53.58102829813926
SK17 1BD,405912,373965,Unsurveyed/Urban,310,High Peak,1,,FALSE,-1.912829431,53.26265219052409
LE8 1BB,459968,299415,Unsurveyed/Urban,90,Oadby and Wigston,1,,FALSE,-1.116255001,52.58923825093504
PE2 2QH,516135,303110,Stagnosols,10,Peterborough,1,,FALSE,-0.286193126,52.613356873020265
B29 5AX,402948,282111,Unsurveyed/Urban,150,Birmingham,1,153100,FALSE,-1.958062585,52.43696476799349
PE26 2TT,528050,289703,Gleysols,0,Fenland,8,150000,FALSE,-0.115483641,52.490219942194365
SK15 9AR,396371,398527,Unsurveyed/Urban,110,Tameside,1,,FALSE,-2.056154552,53.48344848265296
NG34 7RQ,506920,345495,Unsurveyed/Urban,20,North Kesteven,1,194600,FALSE,-0.408386054,52.99611947501505
DL6 1BG,437262,492955,Unsurveyed/Urban,40,Hambleton,1,361400,FALSE,-1.428509452,54.330808819434964
B76 9BL,415782,291862,Unsurveyed/Urban,80,Birmingham,1,366700,FALSE,-1.768820131,52.524407934641395
NE48 2HR,383472,582658,Gleysols,120,Northumberland,1,277200,FALSE,-2.260799342,55.138001682384434
DE1 2PY,435849,335969,Unsurveyed/Urban,50,Derby,1,233700,FALSE,-1.468265302,52.9199483
WS15 4LW,406659,313336,Luvisols,130,Lichfield,1,344200,FALSE,-1.902857991,52.71763932587139
LS14 6XL,434800,434600,Unsurveyed/Urban,70,Leeds,1,169400,FALSE,-1.473045997,53.806536228038404
S71 2DE,435843,407835,Unsurveyed/Urban,110,Barnsley,1,156500,FALSE,-1.460292168,53.56590923727125
NE63 8HG,426544,587653,Unsurveyed/Urban,30,Northumberland,1,38700,FALSE,-1.584704427,55.182459720203425
DE7 6QB,442486,341326,Stagnosols,100,Erewash,1,270500,FALSE,-1.368859457,52.96761829
DE6 6BD,430595,330716,Planosols,60,South Derbyshire,1,,FALSE,-1.546897349,52.873052686195656
NE8 2TZ,423919,561792,Unsurveyed/Urban,10,Gateshead,1,132900,FALSE,-1.628084973,54.95020956642766
B6 7AE,408042,291968,Unsurveyed/Urban,100,Birmingham,1,313800,FALSE,-1.882896715,52.52552843971794
B32 2TT,400983,284898,Unsurveyed/Urban,200,Birmingham,1,259900,FALSE,-1.986959996,52.462026562647495
NE65 7NU,406034,601825,Cambisols,80,Northumberland,6,228300,TRUE,-1.906486594,55.310476884476465
NG9 1AU,452230,337533,Unsurveyed/Urban,50,Broxtowe,1,462700,FALSE,-1.224400891,52.93266682237456
BD23 5NJ,399902,463987,Cambisols,190,Craven,1,446000,FALSE,-2.00299021,54.07181532
HU7 4PX,510774,434392,Unsurveyed/Urban,0,"Kingston upon Hull, City of",6,123200,FALSE,-0.319819619,53.79405642970309
NE40 3RQ,415086,564513,Unsurveyed/Urban,60,Gateshead,1,7653600,FALSE,-1.765850346,54.97500413888645
NE31 2YY,431770,564490,Unsurveyed/Urban,30,South Tyneside,1,124600,FALSE,-1.505214626,54.97401704324925
OL7 0PR,393455,398553,Unsurveyed/Urban,100,Tameside,1,124900,FALSE,-2.100096978,53.48365336210093
SK7 1UX,389081,384401,Unsurveyed/Urban,80,Stockport,1,561500,FALSE,-2.165514461,53.35637474749242
SK14 5PL,395500,394711,Unsurveyed/Urban,120,Tameside,1,104200,FALSE,-2.069223823,53.44914164195289
NR14 7UY,626140,302784,Arenosols,70,South Norfolk,1,454200,FALSE,1.3360214521036524,52.57582338055051
HG3 4ER,419394,461882,Stagnosols,130,Harrogate,1,451600,FALSE,-1.705259258,54.05253607513994
S5 0AH,436376,393300,Unsurveyed/Urban,80,Sheffield,1,101700,FALSE,-1.453925528,53.43523216976014
PE1 1XF,519073,298672,Unsurveyed/Urban,10,Peterborough,1,2788900,FALSE,-0.244417402,52.57284350323052
PE13 3QH,547300,310502,Unsurveyed/Urban,0,Fenland,1,170800,FALSE,0.1770673294792191,52.67221168586015
S1 1PT,435500,387400,Unsurveyed/Urban,70,Sheffield,1,265200,FALSE,-1.467772688,53.38226157059192
DN41 8AR,520287,411509,Stagnosols,10,North East Lincolnshire,1,150300,FALSE,-0.184347181,53.586375734945555
LN2 4JG,499307,372871,Unsurveyed/Urban,40,Lincoln,1,223500,FALSE,-0.513310242,53.243583066876354
OL8 4QF,391057,402824,Unsurveyed/Urban,120,Oldham,1,128700,FALSE,-2.136356488,53.52200690878501
B75 5LZ,412400,299700,Unsurveyed/Urban,160,Birmingham,1,382100,FALSE,-1.818376626,52.59495666
S30 6NR,422249,403178,Stagnosols,220,Barnsley,1,,FALSE,-1.665867206,53.52480073355349
S60 1LZ,442419,392940,Unsurveyed/Urban,30,Rotherham,1,383500,FALSE,-1.363018849,53.43154629080784
SK8 4HW,383990,388379,Unsurveyed/Urban,40,Stockport,1,305200,FALSE,-2.24220601,53.39200031967942
NR6 7JW,623908,312884,Cambisols,30,Broadland,1,240200,FALSE,1.3099782304080785,52.66739112998955
WF15 8JR,417705,424001,Unsurveyed/Urban,150,Kirklees,1,221600,FALSE,-1.733231546,53.71213227934222
NR10 4BP,613553,323725,Cambisols,40,Broadland,1,368900,FALSE,1.1641360568534072,52.768873678683235
DN14 0BU,459681,422075,Arenosols,10,Selby,8,472600,FALSE,-1.097685247,53.69172125000099
DN21 2UW,481100,391200,Unsurveyed/Urban,10,West Lindsey,1,110000,TRUE,-0.781389217,53.411388506799746
S1 3LE,435267,386869,Unsurveyed/Urban,70,Sheffield,1,607600,FALSE,-1.471334431,53.37750438940494
NG23 6QF,479334,366019,Cambisols,10,Newark and Sherwood,1,307700,FALSE,-0.814234529,53.18536058243206
DL6 3PF,445407,500445,Stagnosols,80,Hambleton,1,354300,FALSE,-1.302129847,54.397459384306885
B13 3EB,407502,281065,Unsurveyed/Urban,150,Birmingham,1,,FALSE,-1.891097595,52.42751864
NG32 1BJ,488475,336321,Stagnosols,100,South Kesteven,1,455900,FALSE,-0.685623452,52.91703392547264
BD15 7QL,411800,434200,Unsurveyed/Urban,230,Bradford,1,115400,FALSE,-1.822310887,53.803966197427286
LE4 7HJ,460725,306998,Unsurveyed/Urban,50,Leicester,1,265000,FALSE,-1.103691558,52.65731523602234
NG2 7SZ,457375,335116,Luvisols,50,Rushcliffe,1,323900,FALSE,-1.14829191,52.91041810844229
WV8 1ES,387968,303624,Unsurveyed/Urban,110,South Staffordshire,1,234800,FALSE,-2.179200924,52.63023539435535
NN16 6LY,499527,278634,Cambisols,30,North Northamptonshire,1,,FALSE,-0.538701107,52.396685255995365
LN10 5EQ,517790,368923,Stagnosols,10,East Lindsey,1,44900,FALSE,-0.237925413,53.204337757776145
LE6 1QP,439070,310887,Cambisols,130,North West Leicestershire,1,,FALSE,-1.423351449,52.694262262063035
DE14 9NB,425089,324308,Unsurveyed/Urban,50,East Staffordshire,1,,TRUE,-1.62918801,52.81573353249981
BD17 5JF,414823,438180,Unsurveyed/Urban,70,Bradford,1,322400,FALSE,-1.776219876,53.839661161029724
NN16 6SU,499651,278146,Cambisols,50,North Northamptonshire,1,,FALSE,-0.537024387,52.392276991370444
ST15 8DG,390299,334231,Luvisols,100,Stafford,1,316500,FALSE,-2.145678822,52.905423846575985
DE14 3GE,423168,321276,Unsurveyed/Urban,50,East Staffordshire,6,219000,TRUE,-1.657903718,52.788563511925894
CW1 5FW,372850,356135,Unsurveyed/Urban,50,Cheshire East,1,218400,FALSE,-2.406952926,53.10171551409749
NG14 7FX,470765,349979,Gleysols,20,Newark and Sherwood,1,451400,FALSE,-0.945973833,53.04240851172803
NG6 8UX,454055,346771,Planosols,60,Nottingham,1,239200,FALSE,-1.195712866,53.01552068461765
PE36 6BN,567300,341100,Luvisols,20,King's Lynn and West Norfolk,1,472300,FALSE,0.4882215870782946,52.94121483175722
WS3 3DX,400494,302345,Unsurveyed/Urban,150,Walsall,1,194100,FALSE,-1.99413723,52.61887330170011
S80 9ER,458546,379064,Unsurveyed/Urban,40,Bassetlaw,1,,TRUE,-1.12288349,53.30529476551272
LS14 1HT,434269,436974,Unsurveyed/Urban,80,Leeds,1,189700,FALSE,-1.480845324,53.82790782
S6 5SD,430810,387740,Cambisols,150,Sheffield,1,201100,FALSE,-1.538244349,53.38561091894283
TS9 5YQ,452380,508602,Stagnosols,70,Hambleton,1,269800,TRUE,-1.193301537,54.47009098142577
HD1 1JL,414300,416800,Unsurveyed/Urban,90,Kirklees,1,694400,FALSE,-1.785149023,53.64751282
SK10 3HY,389182,374331,Stagnosols,170,Cheshire East,1,270800,FALSE,-2.163649924,53.265861092075774
NR6 6QX,621664,312363,Unsurveyed/Urban,30,Broadland,1,234400,FALSE,1.2765006130741603,52.66363658688729
B77 4GG,423475,303712,Planosols,100,Tamworth,1,236900,FALSE,-1.654599696,52.63065973299605
NR3 2EX,621300,310600,Unsurveyed/Urban,20,Norwich,1,246600,FALSE,1.2699453997520327,52.64796216534658
DE22 5JX,433536,341214,Arenosols,140,Amber Valley,1,552400,FALSE,-1.502124306,52.96724402550828
DN21 2EZ,481549,390056,Unsurveyed/Urban,10,West Lindsey,1,96500,FALSE,-0.774931462,53.40103887
WS7 9HJ,407198,310387,Cambisols,120,Lichfield,1,309900,FALSE,-1.894942175,52.691122208730405
LS25 2XN,441455,432917,Unsurveyed/Urban,70,Leeds,1,246400,FALSE,-1.372222289,53.790924111380576
TS6 0PW,454944,517623,Unsurveyed/Urban,60,Redcar and Cleveland,1,146000,FALSE,-1.152067817,54.550882404385156
PE21 6HT,532840,343900,Unsurveyed/Urban,0,Boston,1,144600,TRUE,-0.023070128,52.97599666205412
DE3 8RH,435217,334057,Unsurveyed/Urban,60,Derby,1,,FALSE,-1.477871187,52.90280314470186
NE38 7RQ,430901,555848,Unsurveyed/Urban,50,Sunderland,1,86700,FALSE,-1.519715555,54.89641503391019
LS15 8SH,437001,435577,Unsurveyed/Urban,80,Leeds,1,241500,FALSE,-1.439508603,53.81516560978606
S8 0XZ,435091,385099,Unsurveyed/Urban,70,Sheffield,1,235500,TRUE,-1.47417577,53.36160691226289
NR18 9JD,610562,300967,Cambisols,40,South Norfolk,1,397500,FALSE,1.1053433422793193,52.56576210557171
NR2 4JB,621873,309420,Unsurveyed/Urban,10,Norwich,1,199800,FALSE,1.2776081984161478,52.63713783225095
ST10 4NN,401939,338551,Cambisols,130,Staffordshire Moorlands,1,290600,FALSE,-1.972591885,52.94434406857924
B13 9TX,407710,282176,Unsurveyed/Urban,160,Birmingham,1,269600,FALSE,-1.888013374,52.43750369245564
BD19 4BB,420375,427432,Arenosols,150,Kirklees,1,365300,FALSE,-1.692554645,53.74287307126974
LS20 8JX,418004,441908,Unsurveyed/Urban,150,Leeds,1,406500,FALSE,-1.727661969,53.873067764827915
DL15 0JA,419416,535075,Unsurveyed/Urban,100,County Durham,1,175000,FALSE,-1.700171592,54.710317594343564
M34 1FN,392849,394626,Unsurveyed/Urban,100,Tameside,1,,FALSE,-2.109138181,53.44834774
BD23 1HG,399811,451845,Stagnosols,120,Craven,5,185900,FALSE,-2.00436869,53.96268753225922
YO17 1DH,478688,471801,Leptosols,30,Ryedale,1,,FALSE,-0.797137859,54.13603727081706
YO8 1EG,461525,432471,Unsurveyed/Urban,10,Selby,1,,TRUE,-1.06769938,53.78493510185571
HD5 8UA,417540,415715,Unsurveyed/Urban,100,Kirklees,1,152900,FALSE,-1.736196631,53.63766286831286
IP12 2ER,641189,256001,Arenosols,0,East Suffolk,9,429400,FALSE,1.524075107412422,52.14958233433679
DE5 4AH,439780,350493,Unsurveyed/Urban,150,Amber Valley,1,,FALSE,-1.408021715,53.05022442933105
SR2 7PS,438729,556665,Unsurveyed/Urban,40,Sunderland,1,165200,FALSE,-1.397557488,54.90321300045509
B26 1QJ,414175,284962,Unsurveyed/Urban,110,Birmingham,1,202300,FALSE,-1.792796831,52.462421610248995
IP17 1AQ,638251,261610,Arenosols,20,East Suffolk,1,327600,FALSE,1.485152361638507,52.20119053698793
SR1 3ND,439300,556700,Unsurveyed/Urban,30,Sunderland,1,676900,FALSE,-1.388648653,54.90348305405944
DE24 9HL,434637,332327,Unsurveyed/Urban,50,Derby,1,143000,FALSE,-1.486677388,52.88728980230353
S61 4PU,441912,395411,Unsurveyed/Urban,40,Rotherham,1,148400,FALSE,-1.370321017,53.45379594329436
SK14 4JR,394739,395626,Unsurveyed/Urban,110,Tameside,1,169500,FALSE,-2.080697908,53.45735887588965
WS8 6HE,404954,305140,Unsurveyed/Urban,150,Walsall,1,175200,FALSE,-1.928219212,52.643978138556804
DL7 8FL,436485,493505,Unsurveyed/Urban,40,Hambleton,1,229800,FALSE,-1.440390009,54.33580748216945
DN20 0HG,496436,409432,Arenosols,30,North Lincolnshire,1,212100,FALSE,-0.545151701,53.57263663336074
LN11 0LR,532774,387513,Unsurveyed/Urban,30,East Lindsey,1,238400,TRUE,-0.005965581,53.367810627965675
LE19 4PD,452962,299632,Stagnosols,100,Blaby,1,714400,FALSE,-1.219623657,52.591915084738915
